Comment,Designator,Footprint,LCSC,Quantity
8k2,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
PTS645Vx83-2LFS,SW2,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,,1
4K53,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,X38,Pad LED Strip 1x03 2.54,,1
Conn_01x01_Pin,J1,PinHeader_1x01_P1.00mm_Vertical,,1
10u,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
UART FLOATING,J3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Conn_01x03_Pin,X5,PinSocket_1x03_P2.54mm_Vertical,,1
10u,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
10u,C20,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
100n/X7R,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
MF-RHT100,F1,Fuse_Bourns_MF-RHT100,,1
Arduino_Nano_Every,U6,Arduino_Nano,,1
Conn_01x03_Pin,X23,Pad LED Strip 1x03 2.54,,1
Conn_01x03_Pin,X31,Pad LED Strip 1x03 2.54,,1
~,U5,DS3231 Module,,1
np,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,X28,Pad LED Strip 1x03 2.54,,1
np,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,X4,PinSocket_1x03_P2.54mm_Vertical,,1
SL121R308,TH1,C_Disc_D12.0mm_W4.4mm_P7.75mm,,1
Conn_01x03_Pin,X1,PinSocket_1x03_P2.54mm_Vertical,,1
Conn_01x03_Pin,X34,Pad LED Strip 1x03 2.54,,1
100k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,X7,PinSocket_1x03_P2.54mm_Vertical,,1
8k2,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,X17,PinSocket_1x03_P2.54mm_Vertical,,1
np,C19,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
PROG MODE,J2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
160k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
47u,C13,CP_Radial_D10.0mm_P5.00mm,,1
Conn_01x03_Pin,X24,Pad LED Strip 1x03 2.54,,1
8k2,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x03_Pin,X3,PinSocket_1x03_P2.54mm_Vertical,,1
1N5822,D1,D_SMC,,1
100n/X7R,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Conn_01x03_Pin,X20,Pad LED Strip 1x03 2.54,,1
Eingangsbuchse,J5,BarrelJack_GCT_DCJ200-10-A_Horizontal,,1
1nF/X7R,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Conn_01x03_Pin,X18,PinSocket_1x03_P2.54mm_Vertical,,1
Conn_01x03_Pin,X29,Pad LED Strip 1x03 2.54,,1
Conn_01x03_Pin,X14,PinSocket_1x03_P2.54mm_Vertical,,1
Conn_01x03_Pin,X8,PinSocket_1x03_P2.54mm_Vertical,,1
100n/X7R,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
PTS645Vx83-2LFS,SW1,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,,1
Conn_01x03_Pin,X16,PinSocket_1x03_P2.54mm_Vertical,,1
Conn_01x03_Pin,X12,PinSocket_1x03_P2.54mm_Vertical,,1
ESP-07,U7,ESP-07,,1
1nF/X7R,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Conn_01x03_Pin,X36,Pad LED Strip 1x03 2.54,,1
