Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,CP_Radial_D10.0mm_P5.00mm,127.95,-161.482323,-90.0,top
C10,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330.6,-159.55,90.0,top
C11,1nF/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,317.8,-155.8,0.0,top
C12,1nF/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,334.75,-156.0,0.0,top
C13,47u,CP_Radial_D10.0mm_P5.00mm,345.0,-160.717677,90.0,top
C14,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,252.857,-159.512,90.0,top
C15,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.9875,-161.5,0.0,top
C16,1nF/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,327.15,-153.05,180.0,top
C17,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.4875,-161.5,180.0,top
C18,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.05,-161.35,0.0,top
C19,np,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,357.85,-156.5,-90.0,top
C2,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.4,-153.9,180.0,top
C20,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,354.85,-157.45,-90.0,top
C3,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.075,-157.05,-90.0,top
C4,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.125,-162.25,90.0,top
C5,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.35,-162.25,90.0,top
C6,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,263.7,-155.3,0.0,top
C7,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,263.1,-152.6,0.0,top
C8,100n/X7R,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,267.85,-155.3,0.0,top
C9,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,268.45,-152.6,0.0,top
D1,1N5822,D_SMC,60.8,-163.4,0.0,top
F1,MF-RHT100,Fuse_Bourns_MF-RHT100,52.613,-161.681,-90.0,top
H1,MountingHole,MountingHole_3.2mm_M3_DIN965,45.974,-164.973,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3_DIN965,235.077,-157.48,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3_DIN965,352.298,-152.019,0.0,top
H4,MountingHole,MountingHole_3.2mm_M3_DIN965,376.174,-144.78,0.0,top
H5,MountingHole,MountingHole_3.2mm_M3_DIN965,46.101,-176.657,0.0,top
H6,MountingHole,MountingHole_3.2mm_M3_DIN965,374.523,-176.149,180.0,top
J1,Conn_01x01_Pin,PinHeader_1x01_P1.00mm_Vertical,327.25,-163.75,0.0,top
J2,PROG MODE,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,345.05,-147.7,180.0,top
J3,UART FLOATING,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,369.2,-147.05,180.0,top
J4,UART,PinHeader_1x04_P2.54mm_Vertical,358.81,-147.0,90.0,top
J5,Eingangsbuchse,BarrelJack_GCT_DCJ200-10-A_Horizontal,47.75,-149.55,180.0,top
LDR1,A 905014,R_LDR_4.9x4.2mm_P2.54mm_Vertical,327.5,-149.23,90.0,top
R1,np,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,63.8,-154.25,-90.0,top
R10,8k2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,364.871,-152.781,0.0,top
R11,4K53,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,334.7,-158.4,0.0,top
